Pat	O'Donnell	1	1	38	1	0	38	20	0	100	38	100	0	158.3
Tarik	Cohen	1	1	21	1	0	21	20	0	100	21	100	0	158.3
Sam	Bradford	43	32	382	3	0	44	17	40	74.4	8.9	7	0	124.4
Johnny	Hekker	1	1	28	0	0	28	20	0	100	28	0	0	118.8
Lachlan	Edwards	1	1	31	0	0	31	20	0	100	31	0	0	118.8
Robert	Golden	1	1	44	0	0	44	20	0	100	44	0	0	118.8
Sean	Mannion	1	1	12	0	0	12	20	0	100	12	0	0	116.7
Alex	Smith	259	179	2181	16	0	78	4	140	69.1	8.4	6.2	0	115.4
Tom	Brady	309	206	2541	16	2	54	5	124	66.7	8.2	5.2	0.6	106.5
Kirk	Cousins	237	161	1900	13	4	74	8	138	67.9	8	5.5	1.7	103.3
Aaron	Rodgers	193	128	1385	13	3	72	6	142	66.3	7.2	6.7	1.6	103.2
Ryan	Mallett	16	9	56	2	0	12	20	0	56.2	3.5	12.5	0	103.1
Deshaun	Watson	204	126	1699	19	8	72	6	116	61.8	8.3	9.3	3.9	103
Drew	Brees	248	175	1951	11	4	54	15	49	70.6	7.9	4.4	1.6	101.7
Carson	Wentz	264	161	2063	19	5	72	4	123	61	7.8	7.2	1.9	101.6
Russell	Wilson	258	164	2008	15	4	66	8	99	63.6	7.8	5.8	1.6	100.4
Ryan	Fitzpatrick	33	22	290	3	2	41	19	7	66.7	8.8	9.1	6.1	99.3
Dak	Prescott	226	142	1569	14	4	72	13	36	62.8	6.9	6.2	1.8	96.6
Josh	McCown	274	193	1980	13	7	69	2	177	70.4	7.2	4.7	2.6	96.1
Tyrod	Taylor	236	154	1628	10	2	47	2	133	65.3	6.9	4.2	0.8	95.8
Matt	Ryan	232	153	1844	9	6	88	10	86	65.9	7.9	3.9	2.6	92.3
Derek	Carr	240	155	1654	12	6	64	13	52	64.6	6.9	5	2.5	90.9
Jared	Goff	222	133	1719	9	4	69	12	68	59.9	7.7	4.1	1.8	90.3
Matthew	Stafford	270	163	1851	12	4	45	3	156	60.4	6.9	4.4	1.5	89.6
Case	Keenum	233	149	1610	7	3	59	17	44	63.9	6.9	3	1.3	88.8
Philip	Rivers	286	173	2028	13	6	75	11	77	60.5	7.1	4.5	2.1	88.4
Jameis	Winston	246	152	1853	10	6	58	11	68	61.8	7.5	4.1	2.4	88.3
Andy	Dalton	218	138	1603	11	8	77	4	142	63.3	7.4	5	3.7	87
Eli	Manning	260	167	1600	10	5	77	7	108	64.2	6.2	3.8	1.9	86.1
Blake	Bortles	196	115	1398	9	5	52	11	50	58.7	7.1	4.6	2.6	85.4
Carson	Palmer	267	164	1978	9	7	46	4	150	61.4	7.4	3.4	2.6	84.4
Marcus	Mariota	176	110	1301	4	4	55	17	20	62.5	7.4	2.3	2.3	83.1
Ben	Roethlisberger	275	168	2062	10	9	97	12	67	61.1	7.5	3.6	3.3	82.7
Jacoby	Brissett	240	145	1642	5	4	63	1	167	60.4	6.8	2.1	1.7	80.9
Cam	Newton	263	166	1841	10	11	64	4	151	63.1	7	3.8	4.2	79.1
Jay	Cutler	180	113	995	7	5	36	10	93	62.8	5.5	3.9	2.8	78.8
Mike	Glennon	140	93	833	4	5	29	14	78	66.4	6	2.9	3.6	76.9
Trevor	Siemian	247	152	1669	9	10	44	3	159	61.5	6.8	3.6	4	76.8
Brian	Hoyer	205	119	1245	4	4	59	8	112	58	6.1	2	2	74.1
Joe	Flacco	239	153	1290	6	8	54	7	123	64	5.4	2.5	3.3	72.3
E.J.	Manuel	43	24	265	1	1	41	18	29	55.8	6.2	2.3	2.3	72.3
Kevin	Hogan	75	46	517	4	5	49	16	35	61.3	6.9	5.3	6.7	71.9
Tom	Savage	13	7	62	0	0	15	15	41	53.8	4.8	0	0	66.8
Mitchell	Trubisky	80	38	512	2	2	70	11	66	47.5	6.4	2.5	2.5	66.2
Matt	Moore	65	38	364	2	3	29	18	34	58.5	5.6	3.1	4.6	65.2
C.J.	Beathard	110	58	647	2	3	48	11	90	52.7	5.9	1.8	2.7	65.2
Brock	Osweiler	4	2	18	0	0	9	20	0	50	4.5	0	0	62.5
Cooper	Rush	2	1	2	0	0	2	20	0	50	1	0	0	56.2
Matt	Cassel	42	25	162	1	2	17	14	30	59.5	3.9	2.4	4.8	55.9
DeShone	Kizer	213	111	1144	3	11	38	9	81	52.1	5.4	1.4	5.2	51.1
Cody	Kessler	19	10	121	0	1	31	19	17	52.6	6.4	0	5.3	50.5
Brett	Hundley	59	31	244	1	4	26	17	28	52.5	4.1	1.7	6.8	40.5
Derek	Anderson	7	2	17	0	0	9	20	0	28.6	2.4	0	0	39.6
Chad	Henne	2	0	0	0	0	0	20	0	0	0	0	0	39.6
Jarvis	Landry	1	0	0	0	0	0	20	0	0	0	0	0	39.6
MarQueis	Gray	1	0	0	0	0	0	20	0	0	0	0	0	39.6
Ryan	Quigley	1	0	0	0	0	0	20	0	0	0	0	0	39.6
Marqise	Lee	1	0	0	0	0	0	20	0	0	0	0	0	39.6
Scott	Tolzien	18	9	128	0	2	32	18	29	50	7.1	0	11.1	33.8
Drew	Stanton	14	5	66	0	1	27	19	6	35.7	4.7	0	7.1	21.7
Tyreek	Hill	1	0	0	0	1	0	20	0	0	0	0	100	0
Matt	Haack	1	0	0	0	1	0	20	0	0	0	0	100	0
Tanner	McEvoy	1	0	0	0	1	0	20	0	0	0	0	100	0
