Chris	Thompson	3	18	21	69	1	6	5	14	30	1
Christian	McCaffrey	2	3	38	212	1	36	6	13	8	2
Duke	Johnson	2	13	50	185	1	32	7	18	22	3
Antonio	Brown	2	1	1	61	1	22	5	1	1	4
James White	2	7	42	193	1	46	7	14	19	5
Kareem	Hunt	2	21	57	137	1	3	6	20	38	6
LeSean	McCoy	2	11	79	234	1	52	8	21	23	7
Le'Veon	Bell	2	14	90	236	1	31	8	23	25	8
Melvin	Gordon	2	19	82	208	1	51	4	20	25	9
Todd	Gurley	3	22	63	139	1	20	5	21	32	10
Golden	Tate	3	7	20	151	1	28	6	14	17	11
Jerick	McKinnon	2	21	100	222	1	46	7	22	33	12
Mark	Ingram	3	19	104	235	1	48	8	22	32	13
Ezekiel	Elliott	3	30	96	134	1	7	6	29	44	14
Tyreek	Hill	2	11	7	66	1	5	5	9	17	15
JuJu	Smith-Schuster	2	25	24	26	1	1	4	14	34	16
Larry	Fitzgerald	3	5	15	136	1	36	5	6	9	17
Alvin	Kamara	3	18	75	198	1	35	7	21	29	18
Travis	Kelce	2	6	6	92	1	29	4	4	13	19
Matt	Forte	3	20	87	214	1	39	8	22	38	20
Joe	Mixon	3	32	105	132	1	10	8	27	53	21
Keenan	Allen	2	9	8	74	1	23	7	3	5	22
Ted	Ginn	3	25	26	27	1	20	6	16	39	22
Theo	Riddick	3	24	99	203	1	50	7	21	35	23
Julio	Jones	3	12	9	63	1	20	7	6	16	24
Rob	Gronkowski	3	15	13	55	1	20	3	7	16	25
Pierre	Garcon	2	9	14	95	1	15	8	8	7	26
Carlos	Hyde	2	18	107	243	1	61	8	25	24	27
Ty	Montgomery	4	29	129	227	1	50	7	27	42	28
Andre	Ellington	4	21	75	181	1	49	8	21	29	29
Marqise	Lee	3	25	43	51	1	28	8	15	24	30
Isaiah	Crowell	2	32	119	172	1	35	8	24	45	31
Jarvis	Landry	3	2	32	205	1	44	5	5	2	32
Vernon	Davis	3	32	55	21	1	9	7	24	48	32
Giovani	Bernard	3	38	118	58	1	14	6	28	51	33
Chris	Hogan	2	16	22	83	1	26	3	11	18	34
Jalen	Richard	2	32	106	133	1	34	8	23	48	34
DeAndre	Hopkins	3	5	3	77	1	7	1	2	3	35
Jack	Doyle	3	8	38	185	1	52	6	16	17	36
A.J.	Green	3	11	4	53	1	4	4	8	9	36
Lamar	Miller	3	31	102	144	1	41	6	23	49	36
Amari	Cooper	2	15	31	112	1	28	5	14	6	37
Evan	Engram	3	19	48	125	1	42	5	14	19	38
Randall	Cobb	4	21	72	177	1	44	7	20	32	39
Tarik	Cohen	2	21	83	196	1	8	7	27	31	40
Robby	Anderson	1	18	16	46	1	9	4	15	15	41
Adam	Thielen	2	4	2	85	1	28	7	4	4	42
Nelson	Agholor	2	22	35	67	1	7	3	16	32	43
Ed	Dickson	2	27	46	40	1	12	8	18	38	43
Tyrell	Williams	2	27	51	62	1	5	7	20	34	44
Chris	Ivory	3	33	127	186	1	44	7	26	49	44
Rishard	Matthews	3	22	34	65	1	18	7	14	22	45
Adam	Humphries	3	20	61	158	1	35	8	18	29	45
Zach	Ertz	2	7	10	101	1	20	2	4	10	46
Jared	Cook	2	18	40	108	1	45	7	13	24	47
T.Y.	Hilton	2	20	11	23	1	13	7	12	16	48
Michael Thomas	3	8	17	123	1	40	6	5	11	49
Marlon	Mack	4	39	145	135	1	39	7	30	54	50
Frank	Gore	2	35	140	192	1	47	8	28	52	51
Jamison	Crowder	3	21	66	167	1	32	8	20	27	52
Bilal	Powell	2	31	130	210	1	42	8	26	47	53
